,Q Peak Average,R Peak Average,R Standard Deviation,S Peak Average,ST Elevation Average
0,-0.6438623156099903,0.9596200010051742,0.05404880276325528,-1.3204071467185798,0.09330960467716543
1,-0.6058257642443656,0.47659268672873,0.2250235095654636,-0.8380748565281045,0.11620010740972855
2,-0.691905751072169,0.1382576064513523,0.10272540871202096,-0.6885240397078066,0.2364283131191943
3,-0.6841155228729722,0.584831385073603,0.21290436902079776,-0.894379870017639,0.11537709963934238
4,-0.5642663613430161,0.1813865282098589,0.05741527415768696,-0.528681039216672,0.16974452689227687
5,-0.6402236036358555,0.3673307283689183,0.11102979949536228,-0.8154709616565132,0.30490603523980364
6,-0.7286710504243449,0.15205168003946398,0.043504455898996805,-0.5958101659610346,0.08830633438539791
7,-0.6047062008778493,0.5464002009403932,0.191580102353178,-0.7495418667703797,0.3393385560224126
8,-0.5697143068306165,0.21017137110589365,0.06555776802904581,-0.522511726101607,0.21692117153766294
9,-0.8171325890749008,0.2752834464546763,0.06628071109583879,-0.5402094602766592,0.2686441307939729
10,-0.711141214780173,0.224375370100992,0.05174867693243543,-0.7273658083640664,0.26487724836774806
11,-0.7996489377252146,0.2133048377489072,0.0573818898244549,-0.5882124716053825,0.23674208718873
12,-0.6688695674904528,0.2505225008743897,0.062489094633127275,-0.6849950475561237,0.13402188811061141
13,-0.7941628518958003,0.2829909169391641,0.09844820320352067,-0.8313247080916422,0.3471008292756352
14,-0.7714311211129221,0.329234251774519,0.09724036583524136,-0.8457291115168044,0.39365675877078354
15,-0.8494980297327627,0.3200561095146166,0.0581197499049016,-0.8235302904292465,0.3576561053455737
16,-0.6542379927154203,0.22015328513525,0.07357653480071945,-0.6647957275843772,0.19041860387512397
17,-0.6596699337801099,0.2321115272358945,0.08062744123540166,-0.6764474474637232,0.19438244529307153
18,-0.6340873135941906,0.669395019269161,0.17037318866416273,-0.851874386837482,0.2554511310895858
19,-0.6829611085326599,0.6957990242978329,0.10033915210972268,-0.9106415636342986,0.15941502995410725
